symbol,name,exchange,current_price,analysis_date,investment_score,investment_reason,investment_period,target_price,target_deadline,stop_loss_condition,competitive_advantage,risk_level
601919,中远海控,SH,15.4,2025-07-14,100,市盈率5.1倍，估值合理; 市净率1.0倍，账面价值支撑强; 大盘股，流动性好，风险相对较低; 年内表现稳健，波动适中,长期持有(1-3年),23.1,2026-07-14,股价跌破13.09元(15%止损); 市盈率超过7.6倍; 连续三个交易日成交量萎缩超过50%,行业龙头地位，市场份额稳定; 估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
601898,中煤能源,SH,11.35,2025-07-14,100,市盈率9.5倍，估值合理; 市净率1.0倍，账面价值支撑强; 大盘股，流动性好，风险相对较低; 年内表现稳健，波动适中,长期持有(1-3年),17.025,2026-07-14,股价跌破9.65元(15%止损); 市盈率超过14.2倍; 连续三个交易日成交量萎缩超过50%,行业龙头地位，市场份额稳定; 估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
601390,中国中铁,SH,5.84,2025-07-14,100,市盈率6.0倍，估值合理; 市净率0.5倍，账面价值支撑强; 大盘股，流动性好，风险相对较低; 年内表现稳健，波动适中,长期持有(1-3年),8.76,2026-07-14,股价跌破4.96元(15%止损); 市盈率超过9.0倍; 连续三个交易日成交量萎缩超过50%,行业龙头地位，市场份额稳定; 估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
601997,贵阳银行,SH,7.01,2025-07-14,100,市盈率4.4倍，估值合理; 市净率0.4倍，账面价值支撑强,长期持有(1-3年),10.515,2026-07-14,股价跌破5.96元(15%止损); 市盈率超过6.7倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
603993,洛阳钼业,SH,8.18,2025-07-14,100,市盈率11.1倍，估值合理; 大盘股，流动性好，风险相对较低,长期持有(1-3年),12.27,2026-07-14,股价跌破6.95元(15%止损); 市盈率超过16.7倍; 连续三个交易日成交量萎缩超过50%,行业龙头地位，市场份额稳定; 估值偏低，具备价值投资属性,low
601877,正泰电器,SH,23.17,2025-07-14,100,市盈率10.7倍，估值合理; 市净率1.2倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),34.755,2026-07-14,股价跌破19.69元(15%止损); 市盈率超过16.0倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
685,中山公用,SZ,9.34,2025-07-14,100,市盈率11.3倍，估值合理; 市净率0.8倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),14.01,2026-07-14,股价跌破7.94元(15%止损); 市盈率超过17.0倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
600028,中国石化,SH,5.76,2025-07-14,100,市盈率13.2倍，估值合理; 市净率0.8倍，账面价值支撑强; 大盘股，流动性好，风险相对较低,长期持有(1-3年),8.64,2026-07-14,股价跌破4.90元(15%止损); 市盈率超过19.7倍; 连续三个交易日成交量萎缩超过50%,行业龙头地位，市场份额稳定; 估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
2244,滨江集团,SZ,10.12,2025-07-14,100,市盈率8.1倍，估值合理; 市净率1.1倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),15.18,2026-07-14,股价跌破8.60元(15%止损); 市盈率超过12.1倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
600179,安通控股,SH,3.06,2025-07-14,100,市盈率13.4倍，估值合理; 市净率1.2倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),4.59,2026-07-14,股价跌破2.60元(15%止损); 市盈率超过20.1倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
601336,新华保险,SH,61.8,2025-07-14,100,市盈率8.2倍，估值合理; 大盘股，流动性好，风险相对较低,长期持有(1-3年),92.69999999999999,2026-07-14,股价跌破52.53元(15%止损); 市盈率超过12.3倍; 连续三个交易日成交量萎缩超过50%,行业龙头地位，市场份额稳定; 估值偏低，具备价值投资属性,low
600970,中材国际,SH,9.15,2025-07-14,100,市盈率9.1倍，估值合理; 市净率1.2倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),13.725000000000001,2026-07-14,股价跌破7.78元(15%止损); 市盈率超过13.7倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
