股票代码,股票名称,交易所,所属行业,当前价格(元),PE估值(倍),PB估值(倍),综合评分,投资建议,风险等级,成长潜力,目标价-高(元),目标价-低(元),20日均线,60日均线,近1月涨跌(%),近3月涨跌(%),年化波动率(%),建议持有期,预期收益率,止损条件,投资逻辑,风险因素,竞品分析,失败判定条件,分析日期
603259,药明康德,SH,医药,52.3,31.4,2.98,91,强烈推荐,中高,高,65.02,48.09,50.37,48.86,6.24,8.3,26.1,6-18个月,20-40%,股价跌破48.09元，或较买入价下跌15%,人口老龄化驱动刚性需求，创新药研发管线丰富，出海拓展打开增量,集采降价压力持续；核心品种专利到期；研发失败风险,恒瑞医药、药明康德、迈瑞医疗、云南白药 | 竞争要素：研发管线、销售网络、注册资质,连续两个季度净利润同比下滑超过20%；出现重大财务造假或违规事件；核心品种集采中标价格降幅超过70%；股价有效跌破止损位且基本面持续恶化,2026-03-21
002049,紫光国微,SZ,半导体,85.4,44.4,6.94,89,强烈推荐,很高,很高,103.17,70.19,82.53,85.76,2.78,-3.46,26.1,6-18个月,20-40%,股价跌破70.19元，或较买入价下跌15%,国产替代加速推进，先进制程持续突破，政策资金持续扶持,技术封锁与出口管制风险；研发周期长，资本开支压力大；良率爬坡,中芯国际、华虹半导体、紫光国微 | 竞争要素：制程节点、良率、客户资源,连续两个季度净利润同比下滑超过20%；出现重大财务造假或违规事件；先进制程研发失败或客户流失超30%；PE估值超过67倍且业绩增速低于20%；股价有效跌破止损位且基本面持续恶化,2026-03-21
600036,招商银行,SH,银行,38.2,5.1,0.72,87,强烈推荐,低,稳定,50.64,32.86,37.12,34.11,8.01,41.71,23.8,1-3年,20-40%,股价跌破32.86元，或较买入价下跌15%,净息差企稳回升，资产质量持续改善，高股息吸引长线资金配置,利率持续下行压缩净息差；地方债务风险敞口；房地产不良资产暴露,工商银行、建设银行、招商银行、宁波银行 | 竞争要素：净息差、资产质量、零售客群、数字化水平,连续两个季度净利润同比下滑超过20%；出现重大财务造假或违规事件；不良贷款率突破3%且拨备覆盖率低于150%；股价有效跌破止损位且基本面持续恶化,2026-03-21
300760,迈瑞医疗,SZ,医药,265.0,53.1,4.54,86,强烈推荐,中高,高,318.28,227.31,250.52,239.46,6.67,9.29,24.3,6-18个月,20-40%,股价跌破227.31元，或较买入价下跌15%,人口老龄化驱动刚性需求，创新药研发管线丰富，出海拓展打开增量,集采降价压力持续；核心品种专利到期；研发失败风险,恒瑞医药、药明康德、迈瑞医疗、云南白药 | 竞争要素：研发管线、销售网络、注册资质,连续两个季度净利润同比下滑超过20%；出现重大财务造假或违规事件；核心品种集采中标价格降幅超过70%；PE估值超过80倍且业绩增速低于20%；股价有效跌破止损位且基本面持续恶化,2026-03-21
002594,比亚迪,SZ,新能源,285.0,18.5,7.43,85,强烈推荐,高,很高,349.55,240.03,281.98,298.13,-3.84,-8.4,35.0,6-18个月,20-40%,股价跌破240.03元，或较买入价下跌15%,碳中和政策持续推进，全球装机需求旺盛，技术降本趋势明确,产能过剩加剧价格竞争；补贴退坡影响盈利；技术路线切换风险,宁德时代、比亚迪、隆基绿能、通威股份 | 竞争要素：技术路线、成本控制、产能规模,连续两个季度净利润同比下滑超过20%；出现重大财务造假或违规事件；核心产品价格战导致毛利率跌破10%；股价有效跌破止损位且基本面持续恶化,2026-03-21
601012,隆基绿能,SH,新能源,7.8,28.8,6.68,85,强烈推荐,高,很高,9.16,7.07,8.07,7.7,-0.1,6.52,28.5,6-18个月,20-40%,股价跌破7.07元，或较买入价下跌15%,碳中和政策持续推进，全球装机需求旺盛，技术降本趋势明确,产能过剩加剧价格竞争；补贴退坡影响盈利；技术路线切换风险,宁德时代、比亚迪、隆基绿能、通威股份 | 竞争要素：技术路线、成本控制、产能规模,连续两个季度净利润同比下滑超过20%；出现重大财务造假或违规事件；核心产品价格战导致毛利率跌破10%；股价有效跌破止损位且基本面持续恶化,2026-03-21
601398,工商银行,SH,银行,6.45,4.4,0.47,84,强烈推荐,低,稳定,7.43,5.8,6.27,5.74,2.9,31.29,23.6,1-3年,20-40%,股价跌破5.8元，或较买入价下跌15%,净息差企稳回升，资产质量持续改善，高股息吸引长线资金配置,利率持续下行压缩净息差；地方债务风险敞口；房地产不良资产暴露,工商银行、建设银行、招商银行、宁波银行 | 竞争要素：净息差、资产质量、零售客群、数字化水平,连续两个季度净利润同比下滑超过20%；出现重大财务造假或违规事件；不良贷款率突破3%且拨备覆盖率低于150%；股价有效跌破止损位且基本面持续恶化,2026-03-21
601665,齐鲁银行,SH,银行,5.82,4.2,0.77,84,强烈推荐,低,稳定,6.9,5.14,5.64,5.39,4.26,17.54,29.1,1-3年,20-40%,股价跌破5.14元，或较买入价下跌15%,净息差企稳回升，资产质量持续改善，高股息吸引长线资金配置,利率持续下行压缩净息差；地方债务风险敞口；房地产不良资产暴露,工商银行、建设银行、招商银行、宁波银行 | 竞争要素：净息差、资产质量、零售客群、数字化水平,连续两个季度净利润同比下滑超过20%；出现重大财务造假或违规事件；不良贷款率突破3%且拨备覆盖率低于150%；股价有效跌破止损位且基本面持续恶化,2026-03-21
002142,宁波银行,SZ,银行,24.1,4.3,1.01,83,强烈推荐,低,稳定,31.97,21.64,23.87,22.93,8.03,-11.41,26.4,1-3年,20-40%,股价跌破21.64元，或较买入价下跌15%,净息差企稳回升，资产质量持续改善，高股息吸引长线资金配置,利率持续下行压缩净息差；地方债务风险敞口；房地产不良资产暴露,工商银行、建设银行、招商银行、宁波银行 | 竞争要素：净息差、资产质量、零售客群、数字化水平,连续两个季度净利润同比下滑超过20%；出现重大财务造假或违规事件；不良贷款率突破3%且拨备覆盖率低于150%；股价有效跌破止损位且基本面持续恶化,2026-03-21
601318,中国平安,SH,保险,48.6,17.3,1.36,82,强烈推荐,中,稳定,59.92,43.24,45.72,43.79,10.02,13.89,26.3,1-3年,20-40%,股价跌破43.24元，或较买入价下跌15%,长端利率预期改善，负债端成本下行，价值修复逻辑清晰,长端利率下行压力；投资端收益率下滑；代理人队伍质量参差不齐,中国平安、中国人寿、中国太保 | 竞争要素：代理人质量、投资收益率、产品创新,连续两个季度净利润同比下滑超过20%；出现重大财务造假或违规事件；股价有效跌破止损位且基本面持续恶化,2026-03-21
