rank,code,name,sector,current_price,target_price,expected_return_pct,investment_period,stop_loss_price,stop_loss_pct,pe_ratio,pb_ratio,total_score,investment_reasons,risk_factors,recommendation
1,2649,博彦科技,人工智能,14.9,22.35,50.0,6-12个月（高成长优质标的）,13.11,12.0,30.41,2.12,100.0,政策支持：受益于国家人工智能发展战略，AI产业迎来黄金发展期 | 估值优势：市盈率30.41倍，低于行业平均290.77倍 | 账面价值：市净率2.12倍，具有安全边际 | 综合评分：100.00分，在板块中排名靠前，投资价值突出 | 技术面：换手率适中，资金关注度较高但不过热,行业风险：技术迭代快，竞争激烈，需关注技术路线变化,强烈推荐
2,600006,东风股份,汽车芯片,7.33,11.0,50.07,12-24个月（长期价值投资）,6.45,12.0,24.24,1.74,100.0,政策支持：新能源汽车和智能汽车发展推动汽车芯片需求增长 | 估值优势：市盈率24.24倍，低于行业平均135.11倍 | 账面价值：市净率1.74倍，具有安全边际 | 综合评分：100.00分，在板块中排名靠前，投资价值突出 | 技术面：换手率较低，适合长期价值投资,行业风险：下游汽车行业波动影响较大,强烈推荐
3,600509,天富能源,AI眼镜,6.51,9.77,50.08,6-12个月（高成长优质标的）,5.86,10.0,12.39,1.18,100.0,政策支持：AR/VR眼镜结合AI技术，开启新的交互时代 | 估值优势：市盈率12.39倍，低于行业平均156.29倍 | 账面价值：市净率1.18倍，具有安全边际 | 综合评分：100.00分，在板块中排名靠前，投资价值突出 | 技术面：换手率适中，资金关注度较高但不过热,,强烈推荐
4,300218,安利股份,AI手机,15.26,22.89,50.0,6-12个月（高成长优质标的）,13.73,10.0,17.83,2.33,100.0,政策支持：AI手机是未来智能终端发展方向，市场前景广阔 | 估值优势：市盈率17.83倍，低于行业平均143.28倍 | 账面价值：市净率2.33倍，具有安全边际 | 综合评分：100.00分，在板块中排名靠前，投资价值突出 | 技术面：换手率较低，适合长期价值投资,行业风险：消费电子周期性较强，需关注市场需求变化,强烈推荐
5,2340,格林美,云计算,6.51,9.77,50.08,12-24个月（长期价值投资）,5.86,10.0,16.31,1.67,100.0,政策支持：数字化转型推动云计算需求持续增长，行业景气度高 | 估值优势：市盈率16.31倍，低于行业平均180.19倍 | 账面价值：市净率1.67倍，具有安全边际 | 综合评分：100.00分，在板块中排名靠前，投资价值突出 | 技术面：换手率适中，资金关注度较高但不过热,行业风险：竞争激烈，需关注客户集中度和价格战风险,强烈推荐
6,2649,博彦科技,云计算,14.87,22.3,49.97,12-24个月（长期价值投资）,13.09,12.0,30.35,2.12,99.12280701754383,政策支持：数字化转型推动云计算需求持续增长，行业景气度高 | 估值优势：市盈率30.35倍，低于行业平均180.19倍 | 账面价值：市净率2.12倍，具有安全边际 | 综合评分：99.12分，在板块中排名靠前，投资价值突出 | 技术面：换手率适中，资金关注度较高但不过热,行业风险：竞争激烈，需关注客户集中度和价格战风险,强烈推荐
7,600208,衢州发展,区块链,3.65,5.47,49.86,12-24个月（长期价值投资）,3.29,10.0,18.31,0.75,99.12280701754383,政策支持：区块链技术在数字经济中的应用不断拓展 | 估值优势：市盈率18.31倍，低于行业平均213.46倍 | 账面价值：市净率0.75倍，具有安全边际 | 综合评分：99.12分，在板块中排名靠前，投资价值突出 | 技术面：换手率适中，资金关注度较高但不过热,行业风险：政策监管存在不确定性,强烈推荐
8,300182,捷成股份,AI语料,5.6,8.4,50.0,6-12个月（高成长优质标的）,4.93,12.0,28.44,1.79,98.93617021276596,政策支持：AI大模型训练需要大量优质语料，行业需求快速增长 | 估值优势：市盈率28.44倍，低于行业平均653.64倍 | 账面价值：市净率1.79倍，具有安全边际 | 综合评分：98.94分，在板块中排名靠前，投资价值突出 | 技术面：换手率适中，资金关注度较高但不过热,,强烈推荐
9,2367,康力电梯,人工智能,7.56,11.34,50.0,6-12个月（高成长优质标的）,6.65,12.0,21.84,1.79,98.8888888888889,政策支持：受益于国家人工智能发展战略，AI产业迎来黄金发展期 | 估值优势：市盈率21.84倍，低于行业平均290.77倍 | 账面价值：市净率1.79倍，具有安全边际 | 综合评分：98.89分，在板块中排名靠前，投资价值突出 | 技术面：换手率适中，资金关注度较高但不过热,行业风险：技术迭代快，竞争激烈，需关注技术路线变化,强烈推荐
10,2367,康力电梯,物联网,7.57,11.36,50.07,12-24个月（长期价值投资）,6.66,12.0,21.87,1.8,98.88888888888889,政策支持：万物互联时代到来，物联网基础设施建设加速 | 估值优势：市盈率21.87倍，低于行业平均285.72倍 | 账面价值：市净率1.80倍，具有安全边际 | 综合评分：98.89分，在板块中排名靠前，投资价值突出 | 技术面：换手率适中，资金关注度较高但不过热,行业风险：标准化程度低，商业模式仍在探索,强烈推荐
11,34,神州数码,人工智能,38.77,58.16,50.01,6-12个月（高成长优质标的）,34.12,12.0,31.73,2.63,98.7703822507351,政策支持：受益于国家人工智能发展战略，AI产业迎来黄金发展期 | 估值优势：市盈率31.73倍，低于行业平均290.77倍 | 账面价值：市净率2.63倍，具有安全边际 | 综合评分：98.77分，在板块中排名靠前，投资价值突出 | 技术面：换手率适中，资金关注度较高但不过热,行业风险：技术迭代快，竞争激烈，需关注技术路线变化,强烈推荐
